civil_status,dob,name,occupation,party,political_career,religion
,,"Hon. (Mrs.) Gunawardena, Kusumasiri, M.P.",,Viplawakari Lanka Sama Samaja Party(VLSSP),, : Buddhism
 : Married, : 08-02-1943,"Hon. Gunawardena, Amara Indika Rupasinghe, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 17-08-1938,"Hon. Gunawardane, Nanaweera Appuhamilage Leslie Herbert, M.P.",,People's Alliance (PA),, : Buddhism
 : Married,,"Hon. Gunawardane, Chandrakumara Wijeya, M.P.", : Attorney-at-Law,United National Party (UNP),, : Buddhism
 : Married,,"Hon. Nandana Gunathilake, M.P.",,United People's Freedom Alliance(UPFA),,
,,"Hon. Gunathilaka, Metsiyage Don Ariyapala, M.P.",,United National Party (UNP),,
 : Married, : 15-03-1944,"Hon. Gunasinghe, Kaluarachchige Nandadasa, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 27-12-1919,"Hon. Gunasekera, Senerath Gunesekera Vidaneralalage Bennet Dias, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 22-07-1943,"Hon. Gunasekera, Suneetha Lakshman, M.P.", : Attorney-at - Law,Sri Lanka Freedom Party(SLFP),,
,,"Hon. Gunasekera, Ratnayake Mudiyanselage, M.P.",,United National Party (UNP),,
 : Married, : 23-01-1935,"Hon. Gunasekera, Ranasinghe Hettiarachchige Tudor Edward R., M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 12-07-1924,"Hon. Gunasekera, Prins, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 29-03-1953,"Hon. Gunasekera, Mahen, M.P.",,United National Party (UNP),, : Buddhism
, : 18-04-1933,"Hon. Gunasekera, Lionel de Silva Abeyweera, M.P.",,Sri Lanka Freedom Party(SLFP),,
, : 16-01-1925,"Hon. Gunasekera, Jayalathge Gnanasekera, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 10-06-1922,"Hon. Gunasekera, Handapangoda Mudalige Chandrapala, M.P.",,Lanka Sama Samaja Party (LSSP),, : Buddhism
 : Married, : 28-11-1937,"Hon. Gunasekera, Gamage Don Premaratne, M.P.",,United National Party (UNP),, : Buddhism
,,"Hon. Gunasekera, Daniel Dias, M.P.",,,,
, : 21-06-1934,"Hon. Gunasekera, Dissanayake Mudiyanselage, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Single, : 05-11-1955,"Hon. Gunasekera, Kesaralal, M.P.",,People's Alliance (PA),, : Buddhism
,,"Hon. Gunaseelan, Alahipody, M.P.",,Independent (Ind),,
 : Single, : 18-08-1966,"Hon. Gunasekaram, Markandu Shangar, M.P.",,Independent (Ind),, : Hindu
 : Married,,"Hon. Gunaratne, John Sarathchandra, M.P.",,United National Party (UNP),, : Roman Catholicism
 : Married, : 10-03-1954,"Hon. Gunaratne, Kalupathirannehelage Don Upali, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 28-07-1947,"Hon. Anura Gopallawa, M.P.",,United National Party (UNP),Provincial Council Member 1988;  Candidate at the General Election of 1989;  Candidate at the Provincial Council Election of 1993;  Candidate at the General election of 1994; Candidate at thre Provincial Council Election of 1999;  Candidate at the General Election  of 2000; Candidate at the General Election  of 2001., : Buddhism
 : Married, : 30-12-1904,"Hon. Gratiae, Edward Fredrick Noel, M.P.",,,,
,,"Hon. Griffith, Francis Huntly, M.P.",,,,
 : Married, : 16-01-1941,"Hon. Gopallawa, Moithra Cudabanda (Monty), M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 16-09-1917,"Hon. Goonewardene, Cholmondeley de Fonseka, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 18-09-1916,"Hon. (Mrs.) Goonewardene, Violet Vivienne, M.P.",,Lanka Sama Samaja Party (LSSP),, : Buddhism
 : Married, : 16-02-1957,"Hon. Goonewardane, Parakrama Bandula, M.P.",,People's Alliance (PA),, : Buddhism
,,"Hon. Goonesekera, Henry Abeywickrema, M.P.",,,,
 : Married, : 31-10-1909,"Hon. Goonawardene, Leslie Simon, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 13-11-1896,"Hon. Goonesekara, Don Samuel, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 16-04-1935,"Hon. Gooneratne, Clement Victor, M.P.",,People's Alliance (PA),, : Roman Catholicism
 : Married, : 27-05-1949,"Hon. Goonawardena, Ganegama Liyanage Sarath, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 01-05-1891,"Hon. Goonasinha, Alexander Ekanayake, M.P.",,LabourParty (LP),,
, : 13-07-1903,"Hon. Goonaratna, Kodituwakku Don, M.P.",,Sri Lanka Freedom Party(SLFP),,
,,"Hon. Godage, Sirimevan, M.P.",,Sri Lanka Freedom Party(SLFP),,
,,"Hon. Gnanamuttu, Joseph Isaac, M.P.",,,,
 : Married, : 09-05-1950,"Hon. G. KRISHNAPILLAI, M.P.",,Tamil United Liberation Front (TULF),-, : Hindu
, : 24-02-1952,"Hon. GITANJANA   GUNAWARDENA, M.P.,, M.P.", : Engineer,United People's Freedom Alliance(UPFA),Member of the Colombo Municipal Council (1997 - 2000;Deputy President of MEP and Organizer for Avissawella Electorate - MEP, : Buddhism
 : Married, : 06-02-1938,"Hon. Gankanda, Muhandiramalage Chandrasekera, M.P.",,United National Party (UNP),, : Buddhism
, : 05-07-1955,"Hon. (Mrs.) Geetha Samanmalee Kumarasingha, M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 10-10-1942,"Hon. Hanifa Martur Ghani, U.L.M., M.P.",,People's Alliance (PA),, : Islam
 : Married, : 22-12-1953,"Hon. Ganeshamoorthy, Somasuntharam, M.P.",,People's Alliance (PA),, : Hindu
 : Married, : 06-07-1932,"Hon. Ganeshalingam, Poopalapillai, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Married, : 07-05-1965,"Hon. NEOMAL PERERA, M.P.,, M.P.", : Company Director,United People's Freedom Alliance(UPFA),, : Roman Catholicism
 : Married, : 09-02-1954,"Hon. GAMAGE, LAL DHARMAPRIYA, M.P.", : Architect,United National Party (UNP),-, : Buddhism
 : Married, : 08-01-1926,"Hon. Galappatthy, Peter Silva Loku, M.P.",,United National Party (UNP),, : Buddhism
, : 02-08-1948,"Hon. Galappatthy, Ahangama Polwatte Chandradasa, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 12-01-1951,"Hon. Galappaththi, Justin, M.P.", : Teacher,United National Party (UNP),From 1988 M. P. of the Southern Provincial Council; Minister and Opposition Leader of the Southern Provincial Council,
 : Married, : 04-01-1964,"Hon. PRABA GANESAN, M.P.,, M.P.", : Business,United National Party (UNP),Member -Western Provincial Council from 2004 to 2010., : Hindu
, : 28-07-1898,"Hon. Gaddum, Reginald Percy, M.P.",,,,
 : Single, : 16-01-1974,"Hon. G.G. PONNAMBALAM, M.P.", : Attorney-at-Law,Illankai Tamil Arasu Kadchi (ITAK),-, : Hindu
 : Married, : 13-08-1946,"Hon. (Prof.) G.L. PEIRIS, M.P.,, M.P.", : Academician,United People's Freedom Alliance(UPFA),-, : Buddhism
 : None,,"Hon. Ismail Mohamed Quddus, M.P.",,United National Party (UNP),,
 : Married, : 19-05-1901,"Hon. Ismail, Hameed Hussain Sheikh, M.P.",,Independent (Ind),,
 : Married, : 03-01-1907,"Hon. Iriyagolle, Imiya Mudiyanselage Raphael Abhayawansa, M.P.",,United National Party (UNP),,
 : Married, : 09-12-1929,"Hon. Ishak, Mohamed Haleem, M.P.",,Sri Lanka Freedom Party(SLFP),, : Islam
 : None, : 18-10-1920,"Hon. Imbulana, Prema Chandra, M.P.",,United National Party (UNP),,
 : Married, : 08-08-1953,"Hon. IMTHIAZ BAKEER MARKAR, M.P.", : Attorney-at-Law,United National Party (UNP),"District Development Council, Kaluthra - Council Member, Executive Member since 1981.", : Islam
 : Married,,"Hon. Iman, Rasin Mohamed, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),, : Islam
 : Married, : 02-02-1945,"Hon. (Dr.) Illiyas, Idroos Mohamed, M.P.",,Sri Lanka Muslim Congress (SLMC),, : Islam
 : None,,"Hon. Ilangatileke, John Herbert, M.P.",,,,
 : Married, : 15-03-1925,"Hon. Ilangaratne, Tamara Kumari, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 27-02-1913,"Hon. Ilangaratne, Tikiri Bandara, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 22-03-1948,"Hon. MAHINDA RATNATILAKA, M.P.", : Gem Merchant,United National Party (UNP),"S. L. F. P. Memeber of the Ratnapura Municipal Council - 1983;  S. L. F. P. Organiser Kalawana Electorate - 1983; S. L. F. P. candidate for Ratnapura District - 1989;  Mayor of Ratnapura  (SLFP) - 1991;  U. N. P. Candidate of Ratnapura  District - July, 1994;  Opposition Leader Ratnapura Municipal Council;  U. N. P. Member of Parliament for Rtanapura District -2000.", : Buddhism
 : Married, : 26-11-1919,"Hon. Ilangakoon, Christoffel Panini, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. D.C. WEERASEKERA, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 26-11-1934,"Hon. Joseph, Pararajasingham, M.P.", : Business,Illankai Tamil Arasu Kadchi (ITAK),Member of the Federal Party; Co - organiser of T. U. L. F. batticaloa District since 1956., : Roman Catholicism
 : Married, : 15-09-1941,"Hon. M. JOSEPH MICHAEL PERERA, M.P.,, M.P.",,United National Party (UNP),1964-1967 Elected Member of the Ja-Ela Urban Council; 1967-1970 Appointed Vice Chairman of the Ja-Ela Urban Council; 1970-1971 Appointed Chairman of the Ja-Ela Urban Council; 1971-1976 Chief Organiser of the Opposition (U. N. P.) ;  1976-1977 Elected Member of Parliament to the First National State Assembly; 1977-1978 Elected Member of Parliament to the Second National State Assembly; 1978-1988 Elected Member of Parliament to the First Parliament of the Democratic Socialist Republic of Sri Lanka., : Roman Catholicism
 : Married, : 25-08-1932,"Hon. Jinadasa, Vidana Gamage, M.P.", : Landed Proprietor,United National Party (UNP),"Member of Urban Council - 1969- 1989
Mayor of Matale municipal council
Member of Parliament - 1989 - 1994", : Buddhism
 : Married,,"Hon. Jonklaas, Vernon, M.P.",,,,
 : Married,,"Hon. Jinadasa, Sooriyasena, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 02-12-1932,"Hon. Jinadasa, Adikari Mudiyanselage, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Jinadasa, Pilane Lokuge, M.P.",,United National Party (UNP),,
 : Married, : 26-11-1911,"Hon. Jinadasa, Udagama Pahala Yamanelegedera, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 16-01-1906,"Hon. Jinasena, Lankabaranage Bopal Sudhira, M.P.",,United National Party (UNP),,
 : Married, : 29-08-1913,"Hon. Jeyakkody, Kandappa, M.P.",,Federal Party (FP),,
 : Married, : 07-11-1958,"Hon. JEEWAN KUMARANATUNGA, M.P.,, M.P.", : Cinema Artist,United People's Freedom Alliance(UPFA),"First Joined  Sri Lanka Freedom Party After that Joined People's Alliance; 1991 M. P. of the Provincial Council; 1994 M.P. of Parliament; Deputy Minister of Samurdhi, Sports and Youth Affairs.", : Roman Catholicism
 : Married, : 17-09-1906,"Hon. Jayewardene, Junius Richard, M.P.",,United National Party (UNP),, : Buddhism
 : None, : 25-03-1911,"Hon. Jayewardene, Theodore Frederick, M.P.",,United National Party (UNP),,
 : None, : 04-07-1896,"Hon. (Dr.) Jayewardena, Mohandirange Don Simon, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 14-01-1911,"Hon. Jayawickreme, Walter Geofferey Montague, M.P.",,United National Party (UNP),,
 : None,,"Hon. Jayawickreme, Dunuville Herbert, M.P.",,United National Party (UNP),,
 : Married, : 16-09-1898,"Hon. Jayawardena, Paulis Peiris, M.P.",,United National Party (UNP),,
 : None, : 17-06-1872,"Hon. Jayawardana, Theodore Godfrey (Colonel), M.P.",,,,
 : Married, : 09-09-1931,"Hon. Jayawardena, Vincent, M.P.",,United National Party (UNP),,
 : Married, : 29-03-1915,"Hon. Jayawardane, Mahabalage Don Henry, M.P.",,United National Party (UNP),,
 : Married, : 24-07-1924,"Hon. Jayatilleke, Lionel, M.P.",,United National Party (UNP),,
 : Married, : 25-05-1933,"Hon. Jayawardena, Attanayake Mudiyanselage, M.P.", : Farming,Sri Lanka Freedom Party(SLFP),District Secretary (Badulla) -Governent clarical service association - to 1960\r\nDistrict Secretary (Monaragala) -Governent clarical service association -  1960 - 1969\r\nMember of Parliament (Bibile) - 1970-77\r\nUva provicial council member - 1993, : Buddhism
 : None, : 16-08-1911,"Hon. Jayatilaka, Robert Edward, M.P.",,Independent (Ind),,
 : Married, : 29-07-1923,"Hon. Jayatilleke, Jayatilleke Hitihamy Appuhamilage Ariyaratne, M.P.",,United National Party (UNP),,
 : None, : 13-02-1868,"Hon. Jayatilaka, Don Baron (Sir), M.P.",,Ceylon National Congress (CNC),,
 : Married, : 11-05-1932,"Hon. Jayasuriya, Bonnie, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 30-04-1924,"Hon. Jayasuriya, Gamani Nanda, M.P.",,United National Party (UNP),,
 : None,,"Hon. Jayasuriya, Bernard, M.P.",,,,
 : Married, : 27-07-1882,"Hon. Jayasuriya, Arachchige Don Pantalion, M.P.",,United National Party (UNP),,
 : None,,"Hon. Jayasundera, Wilfred Hector de Silva, M.P.",,,,
 : Married, : 04-05-1927,"Hon. Jayasundera, Tikiri Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 04-08-1939,"Hon. Jayasundara, J.M.M.W. Loku Banda, M.P.",,,, : Buddhism
 : None, : 04-12-1907,"Hon. Jayasinghe, Yakupitiye Gunatilleke, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 06-01-1911,"Hon. Jayasinghe, Nanayakkara Atulugamage Stephen de Silva, M.P.",,United National Party (UNP),,
 : Married, : 01-11-1897,"Hon. Jayasooriya, Alexander Perera, M.P.",,United National Party (UNP),,
 : Married, : 28-06-1922,"Hon. Jayasinghe, Donald Shelton, M.P.",,United National Party (UNP),, : Roman Catholicism
 : Married, : 01-05-1937,"Hon. Jayasinghe, Dharmadeva, M.P.",,United National Party (UNP),,
 : Married, : 01-02-1968,"Hon. JANAKA BANDARA, M.P., , M.P.",,United People's Freedom Alliance(UPFA),"Convener - United Studnet's Front, Univerity of Colombo; Member - Jnatha Mithuru Pakshaya; Governor of the Sabaragamuwa Province.", : Buddhism
 : None,,"Hon. Jayasinghe, Appuhamilage Ariyawansa Ellakkala, M.P.",,Sri Lanka Freedom Party(SLFP),,
,,"Hon. JAYASINGHE BANDARA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 16-01-1920,"Hon. Jayasena, Loku Balasuriyage, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 14-12-1944,"Hon. Jayasinghe, Athula  NImalsiri, M.P.", : Company Director,People's Alliance (PA),Involment in the JVP Insurrection in April 1971 and was the 6th respondent; Member of the SLFP since 1975,
 : None,,"Hon. JAYARATHNE HERATH, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 27-07-1955,"Hon. Jayantha Jayaweera, M.P.", : Attorney-at-Law.,United National Party (UNP),"Member Provincial Council, from 1993 to Dec. 2001",
 : Married, : 02-09-1931,"Hon. Jayaratne, Silva Dedimuni Robert, M.P.",,Sri Lanka Freedom Party(SLFP),, : Buddhism
 : Married, : 16-12-1932,"Hon. Jayamaha, Jayamaha Mudalige Don Henry Nicholas, M.P.",,United National Party (UNP),,
 : Married, : 16-08-1953,"Hon. (Dr.) JAYALATH JAYAWARDANA, M.P.", : Medical Practitioner,United National Party (UNP),Students Movement UNP;  Took to Politics through the Youth Front and the Working Committee of the UNP., : Roman Catholicism
 : None,,"Hon. Jayakody, Percy Chandrasoma, M.P.",,United National Party (UNP),,
 : Married,,"Hon. Jayakody, Kamalawarna Kumarsinghe, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 02-09-1945,"Hon. Jayakody, Jayakody Arachchige Don Sunil Ranjan, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 18-01-1890,"Hon. (Dr.) Jayah, Tuan Brahanudeen (Dr. Al Haj), M.P.",,United National Party (UNP),, : Islam
 : Married, : 24-08-1930,"Hon. Lakshman Jayakody, M.P.",,Sri Lanka Freedom Party(SLFP),, : Buddhism
 : None, : 09-04-1934,"Hon. Jalaldeen, Mohamed Aliyar Mohamed, M.P.",,United National Party (UNP),, : Islam
 : None,,"Hon. Jagathsena, Maduwa Hewa Kusumachandra, M.P.",,United National Party (UNP),,
 : None,,"Hon. JANADASA PEIRIS, M.P.",,United People's Freedom Alliance(UPFA),,
,,"Hon. Jabbar, Kudhoos Khan Abdul, M.P.",,Sri Lanka Freedom Party(SLFP),, : Islam
 : None, : 21-12-1921,"Hon. Jafferjee, Saiffudeen Ibrahim, M.P.",,,,
 : Married, : 03-10-1953,"Hon. Kuruppuarachchi, Kuruppuarachchilage Wilson, M.P.", : Businessman,,, : Buddhism
 : Married, : 08-06-1928,"Hon. J.R.P. SURIYAPPERUMA, M.P.,, M.P.", : Teacher,United People's Freedom Alliance(UPFA),, : Buddhism
 : None,,"Hon. (Mrs.) J.A. Mary Lucida, M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 19-06-1943,"Hon. Kurukularatne, Daluwatte Hewa Buddhika Sarath, M.P.",,United National Party (UNP),,
 : Married, : 20-01-1908,"Hon. Kuruppu, Jayaweera, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 03-09-1921,"Hon. Kumaravelu, Karuppiah, M.P.",,Ceylon Indian Congress (CIC),,
 : None, : 29-06-1945,"Hon. Kumaratunga, Chandrika Bandaranaike (Mrs.), M.P.",,,, : Buddhism
 : Married, : 31-07-1919,"Hon. Kumaraswamy, Velupillai, M.P.",,Tamil Congress (TC),,
 : Married, : 12-12-1919,"Hon. Kumarasiri, Premalal M.P., M.P.",,The Ceylon Communist Party ((CCP),,
 : Married, : 08-08-1927,"Hon. Kumarasuriar, Chelliah, M.P.",,,, : Hindu
 : Married, : 31-10-1942,"Hon. Kumarasinghe, Srinath Lalaka, M.P.",,United National Party (UNP),,
 : Married, : 18-08-1907,"Hon. Kulatileke, Semage Salman, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Kumarage, Don Ranjith Nanda, M.P.",,United National Party (UNP),,
 : Married, : 31-03-1893,"Hon. Kularatne, Patrick de Silva, M.P.",,United National Party (UNP),,
 : None, : 29-11-1920,"Hon. Kulatileke, Attaragamage Rajapakse, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 14-10-1930,"Hon. Kumaradasa, Jayasundera Mudiyanselage, M.P.",,United National Party (UNP),,
 : Married, : 17-08-1938,"Hon. Kularatne, Mervyn, M.P.",,United National Party (UNP),,
 : Married, : 18-02-1915,"Hon. Kularatne, Hiripitiyage, M.P.",,United National Party (UNP),,
 : Married, : 08-03-1962,"Hon. Kugendran, Karthikesu Velummailum (Jegan), M.P.", : Coacher,Independent 2-J (Ind),Political activist from 1975;Associated with TULF and EPRLF prior to joining EPDP in 1992; MMC Jaffna from January 1998 untill 2000., : Hindu
 : Married, : 19-12-1950,"Hon. Kularatna, Kadukannage Ananda, M.P.", : Business,United National Party (UNP),,
 : Married, : 04-04-1897,"Hon. Kotelawala, John Lionel (General the Rt.Hon. Sir), M.P.",,United National Party (UNP),,
 : None, : 18-04-1914,"Hon. Kotelawala, Gladwin Conrad Herman, M.P.",,United National Party (UNP),,
 : None,,"Hon. Kotelawala, George, M.P.",,United National Party (UNP),,
 : Married, : 16-12-1910,"Hon. Kotelawala, James Cornelius Thomas, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : None, : 15-03-1886,"Hon. (Dr.) Kotelawala, Don Henry (Sir), M.P.",,Independent (Ind),,
 : Married, : 25-06-1952,"Hon. Kongahage, Upali Sarath, M.P.", : Attorney-at-Law and Notary Public,United National Party (UNP),, : Buddhism
 : Married, : 29-08-1916,"Hon. Kobbekaduwa, Hector Senarath Rajakaruna Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 21-03-1945,"Hon. (Dr.) Kodituwakku, Arachchige Karunasena, M.P.", : Academician,United National Party (UNP),,
 : Married, : 02-12-1947,"Hon. KITULAGODA, JINADASA, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : None, : 21-12-1886,"Hon. Koch, Rosslyn, M.P.",,,,
 : None,,"Hon. Kiriella, Arthur Emmanuel Bandara, M.P.",,United National Party (UNP),,
 : None,,"Hon. Kiriella, Leonard Penryn Bandara (Dr.), M.P.",,United National Party (UNP),,
, : 16-09-1920,"Hon. Banda, Konara Mudiyanselage Wattegedera Kiri, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. MR. KINGSLEY RAJANAYAGAM, M.P.,, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),,
 : Married, : 21-01-1957,"Hon. K. SIVANESAN, M.P.,, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),, : Hindu
 : Single, : 23-11-1960,"Hon. JAYANTHA KETAGODA, M.P.,, M.P.", : Film Artist,Democratic National Alliance (DNA),1991 - Member of the Kaduwela Pradeshiya Sabha and Leader of the Opposition; 1997-  Re - elected to Kaduwela Pradeshiya Sabha;  Member of the Western Provincial Council;  2000 - Member of Parliament.,
 : Married, : 03-10-1917,"Hon. Keuneman, Pieter Gerald Bartholomeus, M.P.",,The Ceylon Communist Party ((CCP),,
 : Married, : 27-07-1951,"Hon. Keerthirathna, W.K.M. Sarath, M.P.",,,,
 : Married,,"Hon. Kathriarachchi, Chandana, M.P.",,People's Alliance (PA),,
 : Married, : 03-02-1936,"Hon. Kaviratne,  Ratnayake Mudiyanselage Punchi Banda, M.P.",,United National Party (UNP),,
 : Married, : 07-11-1902,"Hon. Keerthiratne, Nuwarapaksa Hewayale, M.P.",,United National Party (UNP),,
 : Married, : 06-04-1950,"Hon. KARUPPAIAH VELAYUDAM, M.P.,, M.P.", : Trade Unionist,United National Party (UNP),Provincial Council Member Uva Provincial Council, : Hindu
 : Married, : 24-10-1924,"Hon. Kathiravelupillai, Sivasubramaniam, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Married, : 08-10-1926,"Hon. Karunatillake, Nimal, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 15-03-1933,"Hon. Karunatillake, Lokugamage Rupasena, M.P.",,United National Party (UNP),,
 : None, : 07-08-1928,"Hon. Karunasena, Wanni Arachchige, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 25-01-1930,"Hon. Karunaratne, Ratnayake Mudiyanselage, M.P.",,United National Party (UNP),,
 : Married, : 06-10-1926,"Hon. Karunaratne, Wanasinghe Mudiyanselage, M.P.",,United National Party (UNP),,
 : None, : 23-05-1917,"Hon. Karunaratne, Vela Thanthiri Gurunnanselage, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 18-10-1944,"Hon. Karunaratne, Thilak, M.P.",,United National Party (UNP),,
 : Married, : 26-01-1916,"Hon. Karunaratne, Nuwarapaksa Hewayalage Asoka Mahanama, M.P.",,United National Party (UNP),,
 : None,,"Hon. Karunaratne, Meneripitiya Appuhamillage Don David, M.P.",,United National Party (UNP),,
 : Married, : 18-01-1952,"Hon. Karunaratne, Mahamaya Samanthadewi, M.P.",,United National Party (UNP),,
 : Married, : 24-03-1936,"Hon. Karunaratne, Chandratilaka, M.P.",,United National Party (UNP),,
 : Married, : 23-04-1937,"Hon. (Dr.) Karunanayake, Kamal, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 30-08-1942,"Hon. Karunaratne, Amarakoon Chandra, M.P.",,United National Party (UNP),,
 : Married, : 13-04-1944,"Hon. Kariyawasam, Haputhantri Gamage Noel Padmasiri, M.P.",,Sri Lanka Freedom Party(SLFP),, : Buddhism
 : None,,"Hon. Karunakaram, Kovinthan, M.P.",,Tamil United Liberation Front (TULF),,
 : None, : 08-05-1921,"Hon. Kariyawasam, Haputhantri Gamage Albert, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 29-04-1899,"Hon. Kariapper, Mohamed Ibralebbe Muhamood Samsudeen, M.P.",,Independent (Ind),, : Islam
 : Married, : 29-11-1934,"Hon. Karalliyadde, Seneviratne Banda, M.P.",,United National Party (UNP),,
 : None,,"Hon. Wijeratne Tikiri Banda, M.P.",,LabourParty (LP),,
 : Married, : 15-06-1920,"Hon. (Mrs.) Kannangara, Irene Wimala (Mrs.), M.P.",,United National Party (UNP),, : Buddhism
 : None,,"Hon. Kapukotuwa, Gamini Tissa, M.P.",,United National Party (UNP),,
 : None,,"Hon. Kannangara, Richard charles, M.P.",,,,
 : Married, : 03-06-1913,"Hon. Kannangara, Don Christopher Wijesinghe, M.P.",,United National Party (UNP),,
 : Married, : 06-04-1937,"Hon. Kariyawasam, Dewarakottege Merril Wijesena, M.P.",,United National Party (UNP),,
 : Married, : 13-10-1884,"Hon. (Dr.) Kannangara, Christopher William Wijekoon, M.P.",,United National Party (UNP),,
 : None,,"Hon. Kannangara, Charles Nissanka, M.P.",,United National Party (UNP),,
 : Married, : 03-09-1889,"Hon. Kandiah, Velupillai Ambalavanar, M.P.",,Federal Party (FP),,
 : Married, : 20-02-1969,"Hon. Kamardeen, Abdul Baiz, M.P.", : Businessman,United National Party (UNP),, : Islam
 : None,,"Hon. Kandiah, Ponnambalam, M.P.",,The Ceylon Communist Party ((CCP),,
 : None,,"Hon. Kanaharaj, Kanapathy, M.P.",,United National Party (UNP),,
 : None, : 28-07-1892,"Hon. Kanagaratnam, Kandiah, M.P.",,Tamil Congress (TC),,
 : Single, : 19-10-1937,"Hon. (Ms.) KAMALA RANATHUNGA, M.P., , M.P.",,United People's Freedom Alliance(UPFA),"Started politics with late Hon S.W.,R,D. Bandaranaike in1956; Involved in politics with Mrs. S.W,.R.D. Bandaranaike after the assassination of Mr. Banadaranaike since 1960; Involve in active politics with late 1960 to-date; Contested and was elected for the District of Colombo in the Western Provincial Council Election in 1993; Memebr  - Western Provincial Council.", : Buddhism
 : Married, : 20-03-1939,"Hon. Kanagasabai,  Thanmanpillai, M.P.", : Retired Government Officer,Illankai Tamil Arasu Kadchi (ITAK),, : Hindu
 : Married, : 19-03-1920,"Hon. Kalugalla, Idampitiye Rallage Punchi Banda Gunatilaka, M.P.", : Attorney-at - Law,People's Alliance (PA),Joined S.L.F.P. in 1951.\r\nElected to the Parliament in 1956 & became Deputy Minister of Health.\r\nMinisterial posts\r\n1. Minister of cultural and social service\r\n2. Ministeer of Transport \r\n3. Minister of Finance\r\n4. Minister of Education\r\n5. Minister of Shipping & Aviation\r\n6. Minnister of Tourism, : Buddhism
 : Married, : 03-02-1900,"Hon. Kaleel, Mohamed Cassim Mohamed, M.P.",,United National Party (UNP),, : Islam
 : None,,"Hon. Kailayapillai, Velauthan, M.P.",,Independent (Ind),,
 : Married, : 05-08-1941,"Hon. Lokubandara, Wijesinghe Jayaweera Mudiyanselage, M.P.", : Attorney-at-Law,United National Party (UNP),"Entered politics in 1977  and was elected Member of Parliament for Haputale;  Minister of Education and Higher Education ;  Minister of Cultural Affairs,  Information,  Indigenous Medicine and Technical Education;  Chief Whip of the Opposition.", : Buddhism
 : None,,"Hon. Kadramer, Robert Bruce, M.P.",,Independent (Ind),,
